agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.14629252746446744,0.31540000438690186,1.0,0.0,,,,,,,,,,,,,,0.0,0.5708301447548519,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.5180180894945015,0.25992600083351136,0.38,0.5,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.044197550966400004,,,,0.0,0.0,0.0,0.5539000034332275,,,,,,,,,,,,,,,,,,0.0,-0.11067625284791399,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.11944486738458039,0.2,0.3,0.0,0.27695000000000003,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.013980127132039276,,,,,,,,1.0,0.3548986181382997,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.05533812641395699,0.2,0.1348614748925539,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.059722433682290195,0.295,0.11872659200964882,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4197124134102105,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.37131714446076935,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.048832656592439995,,,,,,,,,,,,,0.0,0.0,0.0,0.5845000147819519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.01566614489308049,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.033236951751968495,0.2,0.3,0.0,0.298095,0.2,0.3578
0,1,0.19176469900545406,-0.13300000131130219,0.2085999995470047,0.0,,,,,,,,,,,,,,0.0435,0.5180180894945015,0.25992600083351136,0.38,0.5,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7326300380146898,0.23192600055744775,0.476688,0.6043,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.0810816021424,,,,0.42640000581741333,0.0,-0.0,0.3009999990463257,,,,,,,,,,,,,,,,,,0.0435,-0.11944486738458039,0.2,0.3,0.0,0.27695000000000003,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.1322199152773888,0.28101600110530855,0.3,0.0,0.42745,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.011246242705113438,,,,,,,,0.8443999886512756,0.31243840002539164,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.059722433682290195,0.295,0.11872659200964882,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0661099576386944,0.3752179989218712,0.17648466981063562,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.37131714446076935,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5442531304543347,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.06466580621011202,,,,,,,,,,,,,0.13940000534057617,0.0,-0.0,0.13109999895095825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.033236951751968495,0.2,0.3,0.0,0.298095,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.010147297636782958,0.22648600101470948,0.3,0.0,0.36495600000000006,0.2,0.3578
