agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.09769408032813583,0.477400004863739,0.8104000091552734,0.0,,,,,,,,,,,,,,0.0,0.5765561996804606,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.5096204953042346,0.2907060009241104,0.364832,0.4052,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.03160927032960001,,,,0.060699999332427985,0.0,0.0,0.4296000003814697,,,,,,,,,,,,,,,,,,0.0,-0.0834956314198356,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.12458709416759879,0.21153299987316132,0.3,0.0,0.2148,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.01149370844204491,,,,,,,,1.0,0.3164745034075083,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.04174781569991779,0.2,0.12026031129485315,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.062293547073799395,0.295,0.11954553961211259,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4334795110998552,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3642526476340996,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.022107383408448,,,,,,,,,,,,,0.2768999934196472,0.0,0.0,0.3174000084400177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.011549833930119002,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.039277855222018994,0.252610998749733,0.3,0.0,0.161874,0.2,0.3578
0,1,0.07042753882361627,0.14939999580383304,0.31279999017715454,0.0,,,,,,,,,,,,,,0.0435,0.5096204953042346,0.2907060009241104,0.364832,0.4052,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7035052415472027,0.3190920001268387,0.454688,0.5616,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.03676774458240001,,,,0.2485000044107437,0.0,-0.0,0.052799999713897705,,,,,,,,,,,,,,,,,,0.0435,-0.12458709416759879,0.21153299987316132,0.3,0.0,0.2148,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.13609541113286683,0.25874800071120263,0.3,0.0,0.2412,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.011378055670849898,,,,,,,,0.9369999766349792,0.31459352529503315,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.062293547073799395,0.295,0.11954553961211259,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.06804770556643341,0.38401499778032305,0.17100221328351475,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3642526476340996,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5250289817361131,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.074392428926592,,,,,,,,,,,,,0.2849000096321106,0.0,-0.0,0.4722000062465667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.039277855222018994,0.252610998749733,0.3,0.0,0.161874,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.017480073650357527,0.306742000579834,0.3,0.0,0.40269599999999994,0.2,0.3578
