agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.16087425980601128,0.4632999897003174,0.9398000240325928,0.0,,,,,,,,,,,,,,0.0,0.5920904050071376,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.495593673374509,0.2880269980430603,0.375184,0.46990000000000004,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.05675667004,,,,0.1670999974012375,0.0,0.0,0.6650000214576721,,,,,,,,,,,,,,,,,,0.0,-0.11002152121920758,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.1338038797237924,0.23174899950623512,0.3,0.0,0.3325,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.014924924673693822,,,,,,,,0.8102999925613403,0.3686149745020431,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.05501076059960378,0.2,0.14007369031077635,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0669019398518962,0.27697849929332735,0.12127794565920963,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.43292350722855416,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3522153128935108,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.040345614413495996,,,,,,,,,,,,,0.0,0.0,0.0,0.5073000192642212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.01243466766357597,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.04998042917071099,0.2,0.3,0.0,0.258723,0.2,0.3578
0,1,0.11129763343387833,0.006500000134110452,0.2849999964237213,0.0,,,,,,,,,,,,,,0.0435,0.495593673374509,0.2880269980430603,0.375184,0.46990000000000004,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7723868598683389,0.2892619980685413,0.47316800000000003,0.6124,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.0704204517376,,,,0.23160000145435333,0.0,-0.0,0.11010000109672546,,,,,,,,,,,,,,,,,,0.0435,-0.1338038797237924,0.23174899950623512,0.3,0.0,0.3325,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.07063091821032003,0.27575299978256224,0.3,0.0,0.38755,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.011659342251530145,,,,,,,,1.0,0.3191524885768675,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0669019398518962,0.27697849929332735,0.12127794565920963,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.03531545910516001,0.3719784992933273,0.14993384708467059,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3522153128935108,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.591778740231915,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.09195347045052003,,,,,,,,,,,,,0.23469999432563782,0.0,-0.0,0.4061999917030334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.04998042917071099,0.2,0.3,0.0,0.258723,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.05478792167909497,0.2445929989218712,0.3,0.0,0.46588500000000005,0.2,0.3578
