agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.03393397706877171,0.32420000433921814,1.0,0.0,,,,,,,,,,,,,,0.0,0.513878816923471,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.48582074583249774,0.26159800082445145,0.38,0.5,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.027641442174399997,,,,0.12129999697208405,0.0,0.0,0.38690000772476196,,,,,,,,,,,,,,,,,,0.0,-0.13689209559689802,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.1269795776098944,0.22304699942469597,0.3,0.0,0.19344999999999998,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.014075873697618353,,,,,,,,0.9279000163078309,0.35630880030912127,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.06844604778844901,0.2,0.13539734411746607,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0634897887949472,0.28815050154924393,0.1147913457654288,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.37507512662011844,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3488361298255873,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.06051194086195201,,,,,,,,,,,,,0.0,0.0,0.0,0.6826000213623047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.04818786072518453,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.044514393881787476,0.2,0.3,0.0,0.34812600000000005,0.2,0.3578
0,1,0.23993206616151844,-0.18760000169277194,0.11980000138282776,0.0,,,,,,,,,,,,,,0.0435,0.48582074583249774,0.26159800082445145,0.38,0.5,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7197571758510986,0.22210326362597313,0.469584,0.5599000000000001,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.06936102505439999,,,,0.08229999989271165,0.0,-0.0,0.3799999952316284,,,,,,,,,,,,,,,,,,0.0435,-0.1269795776098944,0.22304699942469597,0.3,0.0,0.19344999999999998,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.099744669061514,0.23868399940431118,0.3,0.0,0.38345,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.010623213783314066,,,,,,,,0.7512999773025514,0.3020824888563916,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0634897887949472,0.28815050154924393,0.1147913457654288,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.049872334530757,0.3595239993929863,0.1533934770715919,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3488361298255873,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5486810514849756,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.08240013125819999,,,,,,,,,,,,,0.01679999940097332,0.0,-0.0,0.164900004863739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.044514393881787476,0.2,0.3,0.0,0.34812600000000005,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.01996600816363249,0.20319199988618494,0.3,0.0,0.43222499999999997,0.2,0.3578
