agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.06319089323897777,0.0,0.9589999914169312,0.0,,,,,,,,,,,,,,0.0,0.5174445834827074,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.48018683956402386,0.2,0.37672000000000005,0.47950000000000004,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.0276232864992,,,,0.16930000483989716,0.0,0.0,0.38670000433921814,,,,,,,,,,,,,,,,,,0.0,-0.13487557642482642,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.163527075615736,0.23216700091958045,0.3,0.0,0.19335000000000002,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.014030114335303814,,,,,,,,0.8579000234603883,0.3556354282268627,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0674377882024132,0.2,0.13514146272620783,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.08176353779786799,0.2815005022287369,0.13456482999873576,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.13779999315738678,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3780117171359238,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3315840840743095,0.2261819986999035,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.056664667809024,,,,,,,,,,,,,0.3684999942779541,0.0,0.0,0.651199996471405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.04578567536715901,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0808575512373005,0.2700149989128113,0.3,0.0,0.33211199999999996,0.2,0.3578
0,1,0.043462662765879234,0.0,0.17550000548362732,0.0,,,,,,,,,,,,,,0.0435,0.48018683956402386,0.2,0.37672000000000005,0.47950000000000004,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.7841996899946342,0.2,0.46748,0.56725,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.05382296064,,,,0.16930000483989716,0.0,-0.0,0.2533000111579895,,,,,,,,,,,,,,,,,,0.0435,-0.163527075615736,0.23216700091958045,0.3,0.0,0.19335000000000002,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0682593623270796,0.2643340018391609,0.3,0.0,0.32,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.013927260853198113,,,,,,,,0.9000999927520753,0.35411797368088355,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.08176353779786799,0.2815005022287369,0.13456482999873576,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0341296811635398,0.36701000154018404,0.15167406056148208,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.12559999525547028,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.3315840840743095,0.2261819986999035,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5998782492403932,0.25004599779844283,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.09567542737036801,,,,,,,,,,,,,0.04050000011920929,0.0,-0.0,0.287200003862381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.0808575512373005,0.2700149989128113,0.3,0.0,0.33211199999999996,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.05854222377570701,0.27770999893546106,0.3,0.0,0.478584,0.2,0.3578
0,2,0.07431306305599074,0.5910000205039978,0.37610000371932983,0.0,,,,,,,,,,,,,,0.087,0.7841996899946342,0.2,0.46748,0.56725,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.3762882964239489,0.31229000389575956,0.588328,0.7553,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,-0.0857328319008,,,,0.7055000066757202,0.0,-0.0,0.2483000010251999,,,,,,,,,,,,,,,,,,0.087,-0.0682593623270796,0.2643340018391609,0.3,0.0,0.32,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.16047833107176723,0.39837900310754776,0.3,0.0,0.44415,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,2,-0.017135728704457384,,,,,,,,0.9746999740600587,0.3991422646354792,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.0341296811635398,0.36701000154018404,0.15167406056148208,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.0802391655258836,0.4596064990758896,0.11796432474787368,0.2,0.3578,,,,,,,,,,,,,,,,
