agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,0.030614093290583684,0.4300000071525574,0.8379999995231628,0.0,,,,,,,,,,,,,,0.0,0.5271603596117279,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.5037275446823021,0.2817000013589859,0.36704000000000003,0.419,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.0259700763808,,,,0.045499999076128006,0.0,0.0,0.3682999908924103,,,,,,,,,,,,,,,,,,0.0,-0.12778911151623842,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.1337074965377724,0.20864499982446433,0.3,0.0,0.18414999999999998,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.013738422609538836,,,,,,,,1.0,0.35131766730996505,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0638945557481192,0.2,0.1335007135777867,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.06685374825888618,0.295,0.12332169260383895,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3866150002897928,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.35721142806614836,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.05227461379413599,,,,,,,,,,,,,0.0,0.0,0.0,0.614300012588501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.037687200318656015,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.048894461268765475,0.2,0.3,0.0,0.313293,0.2,0.3578
0,1,0.17381621219191665,0.01269999984651804,0.30469998717308044,0.0,,,,,,,,,,,,,,0.0435,0.5037275446823021,0.2817000013589859,0.36704000000000003,0.419,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.694082358149186,0.2841130013298243,0.45845600000000003,0.57135,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.0775651040416,,,,0.1964000016450882,0.0,-0.0,0.4607999920845032,,,,,,,,,,,,,,,,,,0.0435,-0.1337074965377724,0.20864499982446433,0.3,0.0,0.18414999999999998,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.14951280762303643,0.24596100013703107,0.3,0.0,0.41455,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.011995456124779133,,,,,,,,0.8639000058174134,0.32453077001010255,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.06685374825888618,0.295,0.12332169260383895,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.07475640381151821,0.3770705005526543,0.17658175245163155,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.35721142806614836,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5142108907471363,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.106689887413944,,,,,,,,,,,,,0.15899999439716342,0.0,-0.0,0.3953999876976014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.048894461268765475,0.2,0.3,0.0,0.313293,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.031719348689305524,0.23020999893546104,0.3,0.0,0.514947,0.2,0.3578
