agent,time_step,Reward,Action_0_0,Action_0_1,Action_0_2,Action_1_0,Action_1_1,Action_1_2,Action_1_3,Action_2_0,Action_2_1,Action_3_0,Action_3_1,Action_3_2,Action_4_0,Action_4_1,Action_4_2,Action_4_3,state_0_0,state_0_1,state_0_2,state_0_3,state_0_4,state_0_5,state_0_6,state_0_7,state_1_0,state_1_1,state_1_2,state_1_3,state_1_4,state_1_5,state_1_6,state_1_7,state_2_0,state_2_1,state_2_2,state_2_3,state_2_4,state_2_5,state_3_0,state_3_1,state_3_2,state_3_3,state_3_4,state_3_5,state_3_6,state_3_7,state_4_0,state_4_1,state_4_2,state_4_3,state_4_4,state_4_5,state_4_6,state_4_7,next_state_0_0,next_state_0_1,next_state_0_2,next_state_0_3,next_state_0_4,next_state_0_5,next_state_0_6,next_state_0_7,next_state_1_0,next_state_1_1,next_state_1_2,next_state_1_3,next_state_1_4,next_state_1_5,next_state_1_6,next_state_1_7,next_state_2_0,next_state_2_1,next_state_2_2,next_state_2_3,next_state_2_4,next_state_2_5,next_state_3_0,next_state_3_1,next_state_3_2,next_state_3_3,next_state_3_4,next_state_3_5,next_state_3_6,next_state_3_7,next_state_4_0,next_state_4_1,next_state_4_2,next_state_4_3,next_state_4_4,next_state_4_5,next_state_4_6,next_state_4_7
0,0,-0.07556029949113297,0.5940000000000001,0.0,0.0,,,,,,,,,,,,,,0.0,0.5271603596117279,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.5037275446823021,0.31286,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,-0.042236692847999996,,,,0.17280000448226931,0.0,0.0,0.5354999899864197,,,,,,,,,,,,,,,,,,0.0,-0.12778911151623842,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.1337074965377724,0.23283200085163117,0.3,0.0,0.26775,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,0,-0.013738422609538836,,,,,,,,1.0,0.35131766730996505,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0638945557481192,0.2,0.1335007135777867,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.06685374825888618,0.295,0.12332169260383895,0.2,0.3578,,,,,,,,,,,,,,,,
3,0,0.0,,,,,,,,,,0.20990000665187836,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.3866150002897928,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.35721142806614836,0.2398810012638569,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,0,-0.060636150929472,,,,,,,,,,,,,0.45019999146461487,0.0,0.0,0.6836000084877014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.037687200318656015,0.2,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.048894461268765475,0.2855379983782768,0.3,0.0,0.348636,0.2,0.3578
0,1,0.1758646623671961,-0.4533999860286713,0.7164000272750854,0.0,,,,,,,,,,,,,,0.0435,0.5037275446823021,0.31286,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.694082358149186,0.217407371362385,0.357312,0.3582,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,-0.0502945626592,,,,0.40320000052452093,0.0,-0.0,0.07370000332593918,,,,,,,,,,,,,,,,,,0.0435,-0.1337074965377724,0.23283200085163117,0.3,0.0,0.26775,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.14951280762303643,0.30944000095129015,0.3,0.0,0.3046,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,1,-0.011995456124779133,,,,,,,,0.9589999914169312,0.32453077001010255,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.06685374825888618,0.295,0.12332169260383895,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.07475640381151821,0.38610499918460844,0.17658175245163155,0.2,0.3578,,,,,,,,,,,,,,,,
3,1,0.0,,,,,,,,,,0.1500999927520752,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,0.35721142806614836,0.2398810012638569,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5142108907471363,0.2683999998867512,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,1,-0.080487879165528,,,,,,,,,,,,,0.07800000160932541,0.0,-0.0,0.15029999613761902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0435,-0.048894461268765475,0.2855379983782768,0.3,0.0,0.348636,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.031719348689305524,0.30035799868404867,0.3,0.0,0.42528900000000003,0.2,0.3578
0,2,0.12699481999007808,0.22040000557899478,0.48590001463890076,0.0,,,,,,,,,,,,,,0.087,0.694082358149186,0.217407371362385,0.357312,0.3582,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.4346275159850342,0.259283372422394,0.45349599999999995,0.6011500000000001,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,-0.005959031104000001,,,,-0.5198400045186281,0.0,-0.0,-0.5052,,,,,,,,,,,,,,,,,,0.087,-0.14951280762303643,0.30944000095129015,0.3,0.0,0.3046,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.138795196309926,0.2,0.3,0.0,0.052000000000000005,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,2,-0.0223864331659208,,,,,,,,0.7166000008583069,0.4646888222411357,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.07475640381151821,0.38610499918460844,0.17658175245163155,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.06939759814496302,0.4541819992661476,0.1206063141716378,0.2,0.3578,,,,,,,,,,,,,,,,
3,2,0.0,,,,,,,,,,0.6136000156402588,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.5142108907471363,0.2683999998867512,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.297877320487122,0.38498400285840034,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,2,-0.05389983967711199,,,,,,,,,,,,,0.2851000130176545,0.0,-0.0,-0.20579999685287476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.031719348689305524,0.30035799868404867,0.3,0.0,0.42528900000000003,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.065340212571509,0.354527001157403,0.3,0.0,0.320331,0.2,0.3578
0,3,-0.012668313446461622,-0.2648000121116638,-0.13459999859333038,0.0,,,,,,,,,,,,,,0.1304,0.4346275159850342,0.259283372422394,0.45349599999999995,0.6011500000000001,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,0.510229354479939,0.2035360014515174,0.5389120000000001,0.5338499999999999,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,-0.057291375232,,,,0.5546000003814698,0.0,-0.0,0.5655000209808351,,,,,,,,,,,,,,,,,,0.1304,-0.138795196309926,0.2,0.3,0.0,0.052000000000000005,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,-0.1652315670907172,0.3053740000724792,0.3,0.0,0.33475,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,3,-0.011549896362069738,,,,,,,,0.7239999771118165,0.31738503729378365,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.06939759814496302,0.4541819992661476,0.1206063141716378,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,-0.0826157835553586,0.5229619970917702,0.13941708509038464,0.2,0.3578,,,,,,,,,,,,,,,,
3,3,0.0,,,,,,,,,,0.3082999885082245,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.297877320487122,0.38498400285840034,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,0.35836541209176487,0.443561000674963,0.3,0.0,0.0,0.2,0.3578,,,,,,,,
4,3,-0.15562375461410402,,,,,,,,,,,,,0.8737999999999997,0.0,-0.0,0.6645999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,-0.065340212571509,0.354527001157403,0.3,0.0,0.320331,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,-0.07703532797729253,0.5205490011574029,0.3,0.0,0.659277,0.2,0.3578
0,4,0.11218901047764725,-0.016796006894707616,-0.4198000133037567,0.0,,,,,,,,,,,,,,0.1739,0.510229354479939,0.2035360014515174,0.5389120000000001,0.5338499999999999,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,0.6350340070341215,0.2,0.590744,0.32395,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,-0.108731056168,,,,0.17949999868869781,0.0,-0.0,0.3734999895095825,,,,,,,,,,,,,,,,,,0.1739,-0.1652315670907172,0.3053740000724792,0.3,0.0,0.33475,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,-0.11978011640056796,0.33947899982333185,0.3,0.0,0.5215,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,4,-0.014804247263751881,,,,,,,,0.621299982070923,0.366887066027328,,,,,,,,,,,,,,,,,,,,,,,,0.1739,-0.0826157835553586,0.5229619970917702,0.13941708509038464,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,-0.05989005820028398,0.5819854953885079,0.18449538623362868,0.2,0.3578,,,,,,,,,,,,,,,,
3,4,0.0303589296,,,,,,,,,,0.3102000057697296,0.41040000319480896,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,0.35836541209176487,0.443561000674963,0.3,0.0,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,0.47372063006449355,0.5024990017712117,0.332832,0.2052,0.0,0.2,0.3578,,,,,,,,
4,4,-0.13748702550021602,,,,,,,,,,,,,0.4381000101566315,0.0,-0.0,-0.09939999878406525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1739,-0.07703532797729253,0.5205490011574029,0.3,0.0,0.659277,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,-0.013057978749612455,0.603788003087163,0.3,0.0,0.608583,0.2,0.3578
0,5,-0.022705682539241243,0.46389999985694885,-0.2678000032901764,0.0,,,,,,,,,,,,,,0.2174,0.6350340070341215,0.2,0.590744,0.32395,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,0.5739582113222941,0.2881409999728203,0.621152,0.19005,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,-0.12149717489760001,,,,0.43410000205039984,0.0,-0.0,0.07959999889135361,,,,,,,,,,,,,,,,,,0.2174,-0.11978011640056796,0.33947899982333185,0.3,0.0,0.5215,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,-0.1473792839920772,0.4219580002129078,0.3,0.0,0.5613,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,5,-0.024198576992910212,,,,,,,,0.6534000039100647,0.4855141742990229,,,,,,,,,,,,,,,,,,,,,,,,0.2174,-0.05989005820028398,0.5819854953885079,0.18449538623362868,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,-0.0736896419960386,0.644058495759964,0.1841021961714397,0.2,0.3578,,,,,,,,,,,,,,,,
3,5,0.086186075975,,,,,,,,,,0.4047000110149384,0.7864999771118164,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,0.47372063006449355,0.5024990017712117,0.332832,0.2052,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,0.41628387474975986,0.5793920038640499,0.428584,0.59845,0.0,0.2,0.3578,,,,,,,,
4,5,-0.07621466002656002,,,,,,,,,,,,,0.6662999987602235,0.0,-0.0,-0.3903000056743622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,-0.013057978749612455,0.603788003087163,0.3,0.0,0.608583,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,-0.04938458063091749,0.7303850028516053,0.3,0.0,0.40953,0.2,0.3578
0,6,-0.051315305019478126,0.6025999784469604,-0.20319999754428864,0.0,,,,,,,,,,,,,,0.2609,0.5739582113222941,0.2881409999728203,0.621152,0.19005,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,0.8532330438265507,0.40263499587774276,0.635304,0.08845,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,-0.1239572152,,,,0.4684999883174896,0.0,-0.0,0.01489999983459711,,,,,,,,,,,,,,,,,,0.2609,-0.1473792839920772,0.4219580002129078,0.3,0.0,0.5613,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,0.09278470407146802,0.5109729979932308,0.3,0.0,0.56875,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,
2,6,-0.024106902152412735,,,,,,,,0.34130001068115234,0.4844794636090518,,,,,,,,,,,,,,,,,,,,,,,,0.2609,-0.0736896419960386,0.644058495759964,0.1841021961714397,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,0.35307717738898686,0.6764819967746735,0.18716302313751618,0.2,0.3578,,,,,,,,,,,,,,,,
3,6,0.1258697916,,,,,,,,,,0.04580000042915345,0.5874999761581421,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,0.41628387474975986,0.5793920038640499,0.428584,0.59845,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,0.8153082465834841,0.5880940039455891,0.5713360000000001,0.8922,0.0,0.2,0.3578,,,,,,,,
4,6,-0.06607560567283201,,,,,,,,,,,,,0.36639472183365607,0.0,-0.0,-0.07639999687671661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609,-0.04938458063091749,0.7303850028516053,0.3,0.0,0.40953,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3043,0.10821338810039159,0.8,0.3,0.0,0.370566,0.2,0.3578
0,7,0.25548565719997124,1.0,0.29420000314712524,0.0,,,,,,,,,,,,,,0.3043,0.8532330438265507,0.40263499587774276,0.635304,0.08845,0.0,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3478,0.8058504703150883,0.5926349958777428,0.6729919999999999,0.23555,0.0,0.4125,0.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,-0.0621456156096,,,,0.886300027370453,0.0,-0.0,-0.4278999865055084,,,,,,,,,,,,,,,,,,0.3043,0.09278470407146802,0.5109729979932308,0.3,0.0,0.56875,0.2,0.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3478,-0.42992394835753406,0.6793700031936168,0.3,0.0,0.35479999999999995,0.4125,0.8325,,,,,,,,,,,,,,,,,,,,,,
